graph,k,trial,steps,integral,local_max,final_g
"Gnp(n=8,p=0.3,s=0)",3,0,3,True,True,3.25
"Gnp(n=8,p=0.3,s=0)",3,1,1,True,True,2.25
"Gnp(n=8,p=0.3,s=0)",3,2,1,True,True,2.25
"Gnp(n=8,p=0.3,s=0)",3,3,1,True,True,2.25
"Gnp(n=8,p=0.3,s=0)",3,4,2,True,True,3.25
"Gnp(n=8,p=0.3,s=0)",3,5,2,True,True,4.25
"Gnp(n=8,p=0.3,s=0)",3,6,3,True,True,3.25
"Gnp(n=8,p=0.3,s=0)",3,7,1,True,True,2.25
"Gnp(n=8,p=0.3,s=0)",4,0,1,True,True,4.0
"Gnp(n=8,p=0.3,s=0)",4,1,2,True,True,4.0
"Gnp(n=8,p=0.3,s=0)",4,2,2,True,True,4.0
"Gnp(n=8,p=0.3,s=0)",4,3,2,True,True,4.0
"Gnp(n=8,p=0.3,s=0)",4,4,1,True,True,4.0
"Gnp(n=8,p=0.3,s=0)",4,5,2,True,True,5.0
"Gnp(n=8,p=0.3,s=0)",4,6,1,True,True,5.0
"Gnp(n=8,p=0.3,s=0)",4,7,2,True,True,5.0
"Gnp(n=8,p=0.6,s=0)",3,0,2,True,True,5.25
"Gnp(n=8,p=0.6,s=0)",3,1,1,True,True,5.25
"Gnp(n=8,p=0.6,s=0)",3,2,3,True,True,5.25
"Gnp(n=8,p=0.6,s=0)",3,3,201,True,True,4.25
"Gnp(n=8,p=0.6,s=0)",3,4,1,True,True,4.25
"Gnp(n=8,p=0.6,s=0)",3,5,2,True,True,5.25
"Gnp(n=8,p=0.6,s=0)",3,6,2,True,True,5.25
"Gnp(n=8,p=0.6,s=0)",3,7,1,True,True,4.25
"Gnp(n=8,p=0.6,s=0)",4,0,2,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,1,2,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,2,2,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,3,2,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,4,2,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,5,1,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,6,2,True,True,7.0
"Gnp(n=8,p=0.6,s=0)",4,7,1,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",3,0,2,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",3,1,2,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",3,2,2,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",3,3,2,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",3,4,1,True,True,5.25
"Gnp(n=8,p=0.3,s=1)",3,5,1,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",3,6,3,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",3,7,2,True,True,4.25
"Gnp(n=8,p=0.3,s=1)",4,0,3,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",4,1,1,True,True,6.0
"Gnp(n=8,p=0.3,s=1)",4,2,2,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",4,3,2,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",4,4,2,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",4,5,1,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",4,6,2,True,True,7.0
"Gnp(n=8,p=0.3,s=1)",4,7,2,True,True,6.0
"Gnp(n=8,p=0.6,s=1)",3,0,2,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,1,2,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,2,2,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,3,1,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,4,1,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,5,2,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,6,2,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",3,7,2,True,True,5.25
"Gnp(n=8,p=0.6,s=1)",4,0,3,True,True,9.0
"Gnp(n=8,p=0.6,s=1)",4,1,2,True,True,8.0
"Gnp(n=8,p=0.6,s=1)",4,2,1,True,True,8.0
"Gnp(n=8,p=0.6,s=1)",4,3,2,True,True,9.0
"Gnp(n=8,p=0.6,s=1)",4,4,2,True,True,9.0
"Gnp(n=8,p=0.6,s=1)",4,5,2,True,True,8.0
"Gnp(n=8,p=0.6,s=1)",4,6,2,True,True,9.0
"Gnp(n=8,p=0.6,s=1)",4,7,1,True,True,8.0
"Gnp(n=8,p=0.3,s=2)",3,0,2,True,True,4.25
"Gnp(n=8,p=0.3,s=2)",3,1,2,True,True,3.25
"Gnp(n=8,p=0.3,s=2)",3,2,3,True,True,4.25
"Gnp(n=8,p=0.3,s=2)",3,3,1,True,True,2.25
"Gnp(n=8,p=0.3,s=2)",3,4,2,True,True,3.25
"Gnp(n=8,p=0.3,s=2)",3,5,2,True,True,4.25
"Gnp(n=8,p=0.3,s=2)",3,6,2,True,True,4.25
"Gnp(n=8,p=0.3,s=2)",3,7,1,True,True,2.25
"Gnp(n=8,p=0.3,s=2)",4,0,2,True,True,6.0
"Gnp(n=8,p=0.3,s=2)",4,1,2,True,True,6.0
"Gnp(n=8,p=0.3,s=2)",4,2,2,True,True,6.0
"Gnp(n=8,p=0.3,s=2)",4,3,2,True,True,5.0
"Gnp(n=8,p=0.3,s=2)",4,4,2,True,True,6.0
"Gnp(n=8,p=0.3,s=2)",4,5,2,True,True,6.0
"Gnp(n=8,p=0.3,s=2)",4,6,2,True,True,6.0
"Gnp(n=8,p=0.3,s=2)",4,7,2,True,True,6.0
"Gnp(n=8,p=0.6,s=2)",3,0,2,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,1,1,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,2,2,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,3,2,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,4,2,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,5,2,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,6,2,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",3,7,3,True,True,5.25
"Gnp(n=8,p=0.6,s=2)",4,0,2,True,True,9.0
"Gnp(n=8,p=0.6,s=2)",4,1,2,True,True,9.0
"Gnp(n=8,p=0.6,s=2)",4,2,2,True,True,9.0
"Gnp(n=8,p=0.6,s=2)",4,3,2,True,True,9.0
"Gnp(n=8,p=0.6,s=2)",4,4,2,True,True,9.0
"Gnp(n=8,p=0.6,s=2)",4,5,1,True,True,9.0
"Gnp(n=8,p=0.6,s=2)",4,6,1,True,True,8.0
"Gnp(n=8,p=0.6,s=2)",4,7,4,True,True,9.0
"Gnp(n=8,p=0.3,s=3)",3,0,2,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",3,1,2,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",3,2,3,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",3,3,1,True,True,2.25
"Gnp(n=8,p=0.3,s=3)",3,4,2,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",3,5,2,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",3,6,2,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",3,7,2,True,True,4.25
"Gnp(n=8,p=0.3,s=3)",4,0,3,True,True,6.0
"Gnp(n=8,p=0.3,s=3)",4,1,1,True,True,5.0
"Gnp(n=8,p=0.3,s=3)",4,2,2,True,True,6.0
"Gnp(n=8,p=0.3,s=3)",4,3,2,True,True,7.0
"Gnp(n=8,p=0.3,s=3)",4,4,2,True,True,5.0
"Gnp(n=8,p=0.3,s=3)",4,5,2,True,True,7.0
"Gnp(n=8,p=0.3,s=3)",4,6,2,True,True,5.0
"Gnp(n=8,p=0.3,s=3)",4,7,201,True,True,5.0
"Gnp(n=8,p=0.6,s=3)",3,0,1,True,True,4.25
"Gnp(n=8,p=0.6,s=3)",3,1,2,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",3,2,2,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",3,3,2,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",3,4,1,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",3,5,2,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",3,6,2,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",3,7,202,True,True,5.25
"Gnp(n=8,p=0.6,s=3)",4,0,2,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,1,3,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,2,3,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,3,2,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,4,2,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,5,3,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,6,2,True,True,8.0
"Gnp(n=8,p=0.6,s=3)",4,7,4,True,True,8.0
"Gnp(n=8,p=0.3,s=4)",3,0,2,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,1,1,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,2,3,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,3,1,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,4,2,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,5,3,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,6,1,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",3,7,2,True,True,4.25
"Gnp(n=8,p=0.3,s=4)",4,0,2,True,True,6.0
"Gnp(n=8,p=0.3,s=4)",4,1,3,True,True,7.0
"Gnp(n=8,p=0.3,s=4)",4,2,2,True,True,8.0
"Gnp(n=8,p=0.3,s=4)",4,3,2,True,True,7.0
"Gnp(n=8,p=0.3,s=4)",4,4,1,True,True,6.0
"Gnp(n=8,p=0.3,s=4)",4,5,2,True,True,8.0
"Gnp(n=8,p=0.3,s=4)",4,6,2,True,True,7.0
"Gnp(n=8,p=0.3,s=4)",4,7,3,True,True,8.0
